"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm37363",5.07224548377273,-4.14131706769574e-07,0.00144269506432823,0.0823839247362262,0.346117426515417
"Gm19938",4.3100654533706,3.99237109878929e-07,0.00144269505943839,0.0481756678230235,NA
"Sox17",44.3214350702491,2.34145720752653e-06,0.00144269432439352,0.0478360445213431,0.264763502539225
"Gm7357",0.832833981584954,-2.35730816085443e-08,0.00144269486977896,0.981932817347566,NA
"Gm6085",14.4325808104444,1.02118735717751e-06,0.00144269477786085,0.10858064702794,0.396413911792187
"Gm6123",2.11795275473095,4.07090080865035e-07,0.00144269501926238,0.189300562489595,NA
"Mrpl15",283.831176810399,-8.04771370747826e-06,0.00144268952220777,0.020248606643411,0.182939079579902
"Gm37144",117.912653154411,-5.84882304202779e-07,0.00144269191331935,0.873138548211898,0.971279922544895
"Lypla1",846.751492338725,8.65223706193186e-07,0.00144268598892842,0.738918313268329,0.923416296473984
"Tcea1",90.6208995678132,1.62386671726412e-06,0.00144269228222773,0.308465645725606,0.680629911118449
"Gm37277",0.154648621754385,-2.25224679291389e-07,0.001442694994846,0.798121988421271,NA
"Rgs20",0.164171883223302,-3.17817335582088e-07,0.00144269505556973,0.787229955653289,NA
"Atp6v1h",434.347734856518,2.34459494640204e-07,0.00144268488081527,0.933600053971572,0.983405099531113
"Oprk1",6.71005926525602,-3.17568921564112e-07,0.00144269505400343,0.0673353386394882,0.314096793667471
"Gm37429",0.598379637990888,3.99939265182468e-07,0.00144269505948979,0.349945009295002,NA
"Rb1cc1",74.8320174134424,3.69878351767834e-07,0.0014426909656124,0.832834076948619,0.95829817809855
"4732440D04Rik",3.15448306209144,-4.23282293196591e-07,0.00144269490990423,0.295738723492228,NA
"Gm2147",0.0110629377763403,-8.99760554912768e-08,0.00144269499949802,0.873194187894668,NA
"Gm19026",8.1614423585361,-4.99294598494994e-07,0.00144269507514932,0.0168036687056786,0.171464190342447
"Gm37108",0.124948211902685,-1.37771910982246e-07,0.00144269494827539,0.98847010151426,NA
"Pcmtd1",262.038551571028,-3.20751686826277e-06,0.00144268258142407,0.317623504813536,0.68831827878579
"Gm38372",3.2435711936369,4.24449366133867e-07,0.00144269486101114,0.329016050050992,NA
"Gm9826",1.65497401119794,-1.09602236926463e-06,0.00144269445607874,0.118850120010694,NA
"Gm26901",20.359869774333,2.86192221118134e-07,0.00144269476643314,0.549677995877332,0.843054959292542
"Sntg1",0.276228918627253,-2.28516729648405e-08,0.0014426949898179,0.796219883309947,NA
"Gm38259",8.27175376960289,-3.06171492134667e-07,0.00144269505355269,0.0535733464446212,0.282497646139194
"Gm15452",0.636738664257953,-7.04363468344588e-08,0.0014426948407674,0.991273927711067,NA
"Gm37629",3.80299892944464,3.98937463971014e-07,0.00144269505865614,0.0555976788976011,NA
"Gm18300",0.0145601841115185,1.53177664356319e-07,0.0014426949877025,0.757187488573656,NA
"Rrs1",99.4894713509459,-1.32493071201488e-06,0.00144269165618359,0.416445426409537,0.768919900965943
"Adhfe1",310.974480934672,1.26815936498811e-05,0.00144268240146334,0.243153348200139,0.606337896898063
"2610203C22Rik",0.916065491291015,-2.28359165110104e-08,0.00144269475843799,0.985599378556327,NA
"Gm6161",0.563436838360147,-7.26891650590418e-09,0.00144269488949062,0.957553705560814,NA
"Vxn",0.0330891674228586,-1.42006627192167e-07,0.00144269498870996,0.962936490206687,NA
"Mybl1",4.47053227642153,-7.26564209941594e-07,0.00144269494218079,0.112320938664057,NA
"Vcpip1",93.5947037479826,-8.522023966741e-08,0.00144269293593874,0.941072286850018,0.985793853816376
"1700034P13Rik",1.80570404584822,9.94313152442199e-08,0.00144269472389915,0.847685871207497,NA
"Sgk3",84.5258199402499,3.84257626429811e-07,0.00144269141776991,0.763669462804316,0.932344988957273
"Gm6195",0.121328310293782,-3.21060089803196e-08,0.00144269489917657,0.944217499282515,NA
"Mcmdc2",0.45617692821,1.24681087454942e-07,0.00144269488165343,0.78502032347677,NA
"Snhg6",53.9795608059259,-1.18390029150163e-09,0.00144269396096011,0.993784436182067,0.99973560963458
"Snord87",0.0441188898971447,-1.5613789587968e-07,0.00144269498728635,0.997581719035861,NA
"Tcf24",2.10864191405684,-1.66986947677318e-07,0.00144269476053445,0.719412076126807,NA
"E330040D14Rik",0.110463301253132,-2.0762532408457e-07,0.00144269499045456,0.860427475345944,NA
"Ppp1r42",8.69580850173633,3.46185211747809,1.91668361562654,0.00197578734450254,0.0553507843710819
"Cops5",146.467138098978,-4.17911697157891e-06,0.00144269556839844,0.322038829831059,0.692239716802031
"Cspp1",98.385671479844,-1.19011076375131e-06,0.00144269363965002,0.334873409504733,0.702904039335
"Arfgef1",137.443606322943,-2.05026226168092e-07,0.00144267825717657,0.724010707211856,0.919293218815245
"Gm26348",0.0110297224742862,-9.26548542867776e-08,0.00144269499960519,0.873037494764063,NA
"Prex2",26.245764062135,-3.11210838659963e-07,0.00144269410109446,0.638842424294825,0.884312646980026
"A830018L16Rik",0,4.08669691514413e-07,0.00144269506522773,1,NA
"Gm38069",0.227308256179278,-2.10224123563177e-07,0.00144269499899624,0.722684073116041,NA
"Gm7560",0.479872985267365,-2.74684052003261e-07,0.00144269501831896,0.552990254581357,NA
"Gm2383",0.184058550471829,-4.53532648848007e-08,0.00144269489928486,0.808414087614913,NA
"Sulf1",6.99125290311948,-2.24037692096589e-07,0.00144269435281826,0.749767989197826,0.927358049557543
"Slco5a1",0.147899595084218,2.61475182452923e-07,0.00144269499393003,0.691492282429938,NA
"Gm29283",2.39349876225809,-4.36745621072418e-07,0.0014426950553322,0.130671220289741,NA
"Prdm14",24.7840647848693,-4.48922409769337e-07,0.00144269487134059,0.283814939473299,0.653762982120585
"Ncoa2",120.995866784708,8.20954462253761e-07,0.00144269195431097,0.59302295235139,0.864004466537594
"Gm37702",0.044185320501253,-1.56148594419755e-07,0.00144269498728036,0.997768230206565,NA
"Gm38120",0.176741282005012,-2.31754887683006e-07,0.00144269499702695,0.77225386625921,NA
"Gm38380",0.318842709839966,-3.24632365715768e-07,0.00144269501569938,0.649623207110099,NA
"Gm7593",23.5736051547639,4.95596523175058e-07,0.0014426950205378,0.0797788959270282,0.34173845661486
"Tram1",338.80293631602,1.22334405218403e-06,0.00144268514802558,0.65025098976309,0.887789027369717
"Lactb2",663.927083606444,-1.42045508225658e-06,0.00144267718162566,0.256352069018491,0.620782655190033
"Gm38319",5.99832800785412,-3.03672758704062e-07,0.00144269505201446,0.075931946156049,0.332131415722438
"Xkr9",83.221682164071,2.22442617852451e-06,0.00144269265057118,0.153785922585402,0.475142068417058
"Gm5523",0.421183346879371,2.13348846435366e-07,0.0014426946584742,0.774069587468,NA
"Gm9947",0.0292005044986697,1.99380595776937e-07,0.00144269498323017,0.715918249838419,NA
"Msc",14.4683850725054,1.28838315788959e-06,0.00144269522211303,0.00263780702085501,0.0655537589956999
"Gm37412",0.0220594449485724,-1.21617903602541e-07,0.00144269499192177,0.922312527735071,NA
