Geneid,BC16_fliv_N_1.sort.bam,BC16_fliv_N_2.sort.bam,BC16_fliv_O_1.sort.bam,BC16_fliv_O_2.sort.bam,BC16_fliv_P_1.sort.bam,BC16_fliv_P_2.sort.bam,BC16_fliv_Q_1.sort.bam,BC16_fliv_Q_2.sort.bam,BC16_fliv_R_1.sort.bam,BC16_fliv_R_2.sort.bam,CTRL_fliv_B_1.sort.bam,CTRL_fliv_B_2.sort.bam,CTRL_fliv_D_1.sort.bam,CTRL_fliv_D_2.sort.bam,CTRL_fliv_E_1.sort.bam,CTRL_fliv_E_2.sort.bam,CTRL_fliv_F_1.sort.bam,CTRL_fliv_F_2.sort.bam
Lrrc1,0,0,0,0,23,24,0,0,0,0,0,0,17,17,17,17,17,17
Gm19569,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0
Gm21013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klhl31,77,77,80,80,22,23,67,66,56,56,162,134,16,16,49,46,45,43
Gm47790,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Gm47789,0,0,13,11,5,0,0,0,0,0,0,0,2,1,0,0,0,0
Gm47795,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Gclc,875,867,2894,2873,4094,4085,452,453,204,204,789,797,3707,3683,573,572,440,441
Gm34654,0,0,72,68,33,24,0,0,0,0,0,0,37,48,0,0,17,17
Gm47818,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0
Gm19572,0,0,37,16,11,13,0,0,0,0,0,0,12,12,0,0,0,0
Gm47824,0,0,0,0,0,0,0,0,0,0,27,26,0,0,0,0,0,0
Elovl5,989,979,15512,15456,11330,11261,1240,1241,257,237,596,589,14609,14578,1241,1251,915,914
Gm34829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
Gm23609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gcm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbxo9,122,90,577,582,662,650,92,92,67,67,73,73,511,523,160,160,29,29
Cilk1,0,0,459,475,565,560,5,5,79,79,0,0,254,265,28,27,15,15
Rn7sk,0,0,15,29,17,29,32,0,0,0,0,0,40,21,0,0,0,0
C920006O11Rik,0,0,101,99,114,107,19,16,0,0,0,0,87,88,44,44,0,0
Gsta4,89,98,390,408,1067,1080,81,84,26,26,9,9,976,998,93,92,43,42
Gm3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gsta1,0,0,0,7,7,7,0,0,0,0,26,35,104,116,21,0,15,16
Dppa5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm3776,0,0,0,0,10,5,0,0,0,0,0,0,19,13,16,0,0,1
Dppa5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10639,0,0,0,1,0,0,60,73,0,0,0,0,5,7,0,0,0,0
Omt2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omt2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gsta2,0,0,192,162,441,486,0,18,54,52,0,0,375,379,23,15,39,37
Dppa5a,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0
Ooep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930542C12Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx43,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Gm8093,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cgas,0,0,4,4,4,2,15,0,0,0,62,60,2,2,0,0,12,26
Gm17324,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0
Mto1,0,0,167,172,222,227,54,54,105,105,18,37,234,239,80,80,25,25
Eef1a1,7908,7615,16211,15873,18595,18604,6525,6309,5118,5498,4478,4298,19363,19204,3968,4091,5453,5396
Gm26377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47430,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,0,0
Slc17a5,42,42,299,283,378,373,0,0,0,0,118,117,467,454,73,73,12,12
Cd109,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
4921509A06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm46138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8116,27,18,17,15,24,10,21,0,23,1,18,19,19,15,4,2,0,0
Gm47498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm35024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm49264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldoa-ps3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldoa-ps4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm35262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10635,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0
Gm8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col12a1,0,0,76,74,73,72,0,0,0,0,0,0,45,45,0,0,0,0
4930562D21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox7a2,346,344,2784,2760,1784,1767,699,687,169,173,185,221,3767,3794,250,237,136,135
Tmem30a,373,349,2418,2424,2051,2020,538,550,167,185,182,184,2591,2582,210,223,181,184
4930429F24Rik,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
Filip1,0,0,0,0,6,6,0,0,0,0,50,50,1,1,0,0,0,0
Gm20477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm46146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senp6,176,163,840,843,783,785,167,168,21,21,42,41,507,514,151,150,87,64
Gm20648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myo6,63,63,1540,1539,1435,1432,27,27,23,23,49,65,843,849,132,133,66,66
Gm27227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
