"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ppp1r42",10.1059192127737,5.63375606876507,1.78995605588964,3.14742702773505,0.00164714213655428,0.0387966957027044
"Gm7560",36.7372510881397,-24.00667382261,3.00387049357677,-7.99191372395844,1.32860007758316e-15,4.73986178897776e-13
"Gm7593",26.9030632073804,8.43121392233498,2.37030731808049,3.55701299068794,0.000375095614008344,0.0153019519952191
"Gm15825",27.8359838217646,-24.2776563670386,3.00409346915035,-8.08152496463601,6.39618301854682e-16,3.89820704217851e-13
"Pkhd1",30.9638951713356,3.53460238436577,1.05460142531276,3.35160023448435,0.000803459474449742,0.0243821612713203
"Adgrb3",15.66514335494,-7.17161558193498,2.19508890487617,-3.2671185053161,0.00108648190084414,0.0301985765258834
"Prim2",19.4702367916102,4.68679302978277,1.4456462313033,3.24200549781635,0.00118691732676538,0.0320972027255415
"Gm15455",50.0618131489988,8.87301017072604,2.22853967221501,3.98153565823978,6.84714462575617e-05,0.00413856134053452
"Gm33222",16.2955652171413,-23.5485955332157,3.00474484130635,-7.8371365213752,4.60936823076419e-15,9.77119262483882e-13
"Aff3",16.0080675999815,4.72072083496334,1.30618555127633,3.61412728103638,0.000301360997806272,0.0130531981046051
"Chst10",17.1398040826377,6.58510531519055,2.10174669858162,3.13315839612573,0.00172936089429776,0.0396873794494718
"Il18r1",22.6456105093322,5.76659987196797,1.70282177961718,3.38649642669262,0.000707911984091285,0.0224612333867749
"Cd28",28.4824809768014,-6.66525881400727,1.93851493124887,-3.43833246087676,0.000585308604131368,0.0199684482773644
"Ctla4",25.5888435482343,-7.19346314072558,2.00244779396033,-3.59233492249941,0.000327728261467194,0.0138372265107023
"Ino80dos",37.9704982491516,5.79486432920435,1.56606231759375,3.70027697116686,0.000215364283711087,0.0102945535223597
"Myl1",98.2030177718005,-9.8370352988754,1.99520296647645,-4.93034316014861,8.20852964065924e-07,9.02753105668591e-05
"Gm5256",17.9642166830456,7.84634431206137,2.43222155147083,3.22599900790965,0.00125533792148903,0.0331822329674732
"Gm4319",14.7590907482068,-23.3863795653109,3.00490859448739,-7.78272577349409,7.09783780306437e-15,1.19333417868302e-12
"Hes6",235.305679925661,-1.72167022006783,0.457075759866604,-3.76670646583904,0.000165415293691106,0.00843067508242113
"Pask",23.1543696107261,5.37626317266377,1.51714361525816,3.54367452006113,0.000394592055287766,0.0156940511221808
"Bcl2",90.2404766883534,5.03695272784482,1.50661774606415,3.34321876999207,0.000828125856568174,0.0250197962345229
"Sctr",14.0586527886664,-6.0964369344759,1.88203363432951,-3.2392816064883,0.00119831196644163,0.0321609341892508
"Celrr",23.9372245692741,8.26129894677642,2.40277580144223,3.43823129141624,0.000585527341053492,0.0199684482773644
"Gm37772",22.0494998402995,22.9261177786774,3.03368249441721,7.55719091265077,4.11867236435224e-14,6.21070316220415e-12
"Rpl31-ps9",16.4545478976079,5.53922506151754,1.6891620674463,3.27927388867537,0.00104074574224542,0.0293616702213043
"C4bp-ps1",14.0214941935021,-7.00617323476165,2.29473885064472,-3.05314621434732,0.00226455569818685,0.0475914600537055
"Gm37163",29.487899044845,-8.120047673195,1.67967640319823,-4.83429287792209,1.33619743045362e-06,0.000140608343994569
"Mgat4e",19.5299900498818,7.96736887807346,2.40267111339936,3.31604639255058,0.000913006710482757,0.0266557867349926
"Gpr37l1",19.6166789210547,-6.79010011335613,1.43995839246939,-4.71548355068217,2.41137375447121e-06,0.00023740062303979
"Lad1",21.9659381341762,-4.35245411457055,1.27392119828226,-3.41658033514108,0.000634129509195522,0.0207968886345357
"Kif14",15.1600569850264,-5.88255172876349,1.67946125815856,-3.50264211227675,0.000460667968453413,0.0171898343357066
"Gm33994",19.1488438835556,-6.52515353324881,1.58205098797153,-4.12449003405081,3.71557079233622e-05,0.00254334112459505
"Gm19705",13.3799515841002,5.32847506287612,1.51675349919307,3.51307912967463,0.00044294553930709,0.0168837998993083
"Platr22",24.7620258647224,6.47551338447716,1.65443886406199,3.91402397824385,9.07706158092114e-05,0.00533213573269613
"Ptprc",165.298938447032,-2.29743959639271,0.75276043739412,-3.05201958321018,0.0022730727059237,0.0475919959614871
"Gm38266",25.8269335516957,-24.1571666579842,3.00416502943495,-8.04122490651848,8.89448351754311e-16,4.31038818724234e-13
"2810414N06Rik",39.9511279374931,3.10102232467731,0.755917816149642,4.10232734091749,4.09015055906013e-05,0.00269489334357534
"Cacna1e",30.5654004621892,-6.32882009812358,1.85586103123462,-3.41017996046466,0.000649200271890109,0.0209621465274539
"Tex50",14.0246754830086,-7.0104296056935,2.21726111356891,-3.16175193024942,0.00156823098726581,0.0375679570036867
"Fmo3",263.858589783913,-2.45333648808957,0.418913509883435,-5.85642723428095,4.7293065753867e-09,6.1763899355519e-07
"Gm36945",22.4841595772152,8.18654691110992,1.40848946291657,5.81228836043828,6.16245682375631e-09,7.97683681071535e-07
"Gm38190",37.3708121221837,5.93998858318393,1.39102437669411,4.27022608856132,1.95274912781689e-05,0.00146476212782449
"Nuf2",9.57262153839235,4.8302926696235,1.50756851374836,3.20402862329199,0.00135519002893447,0.0344993165125065
"Nos1ap",20.0260807455132,6.79250740582946,1.72632907556551,3.93465388608159,8.33166731850562e-05,0.00491400394628152
"Mpz",8.14552355199567,-5.31168719466224,1.69482242839308,-3.13406708908049,0.00172401434268854,0.0396873794494718
"Slamf6",26.487716214697,-6.12342483301518,1.88477740641913,-3.24888488802984,0.00115858352528677,0.0317352082853363
"Olfr433",25.8269335516957,-24.1571666579842,3.00416502943495,-8.04122490651848,8.89448351754311e-16,4.31038818724234e-13
"Gm37668",13.0934250114317,-6.91426588508524,2.17038841776919,-3.18572741564479,0.0014439057119211,0.0356756906220775
"Akt3",48.631725436616,3.33085506824895,0.934169007668169,3.5655807898865,0.00036305129875126,0.0149587361882667
"Gm37033",41.4320039392789,3.01287785910492,0.963330578627976,3.12756381448621,0.0017626155122019,0.0400788764113808
"Gm28172",14.5172277856572,-6.37093528252196,2.09204260339263,-3.04531813653811,0.00232434302261016,0.04822434807336
"Pacc1",21.0222366343623,-4.27232572637695,1.36987047722129,-3.11878078797869,0.00181601015962886,0.0406780713704308
"Dtl",21.9598498286585,5.41368406966895,1.51396176054725,3.57583937107638,0.000349105967797723,0.0144656458667912
"Prkcq",24.0218648584957,-4.72908803928973,1.18304317841686,-3.99739259358071,6.40440345500795e-05,0.00391954850779922
"Gm37975",16.9508769426013,6.56740773875626,2.03598262582531,3.22566983404099,0.001256782461474,0.0331822329674732
"Il2ra",30.4193583909874,-6.97463312406104,2.25846998244118,-3.08821156724968,0.00201365058719098,0.0437647357189337
