"","BC12_fliv_G_1.sort.bam","BC12_fliv_G_2.sort.bam","BC12_fliv_J_1.sort.bam","BC12_fliv_J_2.sort.bam","BC12_fliv_K_1.sort.bam","BC12_fliv_K_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Efcc1",6.84066785633991,6.84066785633991,7.24803485833408,7.21614148788701,7.19881236761375,7.23357108355739,8.10715547320785,8.4244949842899,7.16449683494252,7.16503827402403,8.11858503034848,7.82924933471696,8.08809218025869,8.0756309432654
"Clec4a3",6.84066785633991,6.84066785633991,7.08525823793154,7.08562490559305,6.84066785633991,6.84066785633991,8.50821554442972,8.51539952278719,7.30742531771551,7.30820223205756,7.49509602292999,7.6088570267184,7.94095841417483,7.94212823454462
"P3h3",6.84066785633991,6.84066785633991,7.44665995299729,7.44755739534241,7.38203482055223,7.37131065426953,8.61249214543898,8.60996770639975,7.54961072693753,7.54453270251454,7.86279222535783,7.8669947313212,8.12827802960381,7.9097193851087
"Gm19065",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.72659849767139,7.86322988309386,6.84066785633991,6.84066785633991,7.71581239588536,7.71944924368811,7.89195026912294,7.89307242928287
"Gm44067",6.84066785633991,6.84066785633991,7.00089931502385,6.97171518644489,6.84066785633991,6.84066785633991,8.23940600336722,8.24561083927679,6.95783461020921,6.93650345183761,6.84066785633991,6.84066785633991,7.66198811445517,7.68479589848253
"Tmc4",6.84066785633991,6.84066785633991,7.52981719073166,7.63600322496372,7.2929979790269,7.26483516868642,8.97412261144687,8.98278758935581,7.44152852662545,7.52865290521899,7.7991736667697,7.76236733617655,8.43476330022237,8.4462725469017
"Tnni3",6.84066785633991,6.84066785633991,6.95399770805038,6.9333482350237,7.19881236761375,6.84066785633991,6.84066785633991,6.84066785633991,7.22232416853708,7.21697468349877,7.65488562321412,7.65828278912221,8.42479211437195,8.4263988081789
"Gng8",6.84066785633991,6.84066785633991,7.04745505386888,7.01398254724988,7.14054293944751,7.14113754015299,7.50552689198622,7.50864978581558,6.95783461020921,6.9580312274985,8.22544594867782,8.23095782292878,7.66198811445517,7.6628793441003
"Gm6872",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.61249214543898,8.62003163150269,6.84066785633991,6.84066785633991,7.62244390463694,7.62571228761221,8.03188261807911,8.04750695065972
"Ankrd42",6.84066785633991,6.84066785633991,7.09382136344803,7.12591225194497,7.14054293944751,7.14113754015299,8.68048673890102,8.67873383412917,6.93634287033059,6.93650345183761,7.51488328535584,7.67404290036206,7.70516202885143,7.39288006255095
"Zfp941",6.84066785633991,6.84066785633991,7.11012440649525,7.11052814488205,6.84066785633991,6.84066785633991,8.38174703375836,8.3884814609538,7.15015338915571,7.15067103377399,7.62244390463694,7.62571228761221,6.84066785633991,6.84066785633991
"Cdc16",6.84066785633991,6.84066785633991,8.00492039047702,8.00492296134693,7.39353943720967,7.39462633380576,8.77155811012347,8.78839328026757,8.02162143519275,8.02001346179673,8.46789920951586,8.46734326135461,8.82893416514286,8.83085453652488
"Dctd",6.84066785633991,6.84066785633991,7.00089931502385,7.03715454434122,6.84066785633991,6.84066785633991,8.31929695694349,8.32580207248051,7.01957755581191,7.01987756388026,6.84066785633991,6.84066785633991,7.80374502836286,7.80477998716907
"Mast1",6.84066785633991,6.84066785633991,7.03686017945942,7.01398254724988,6.84066785633991,6.84066785633991,6.84066785633991,8.21751352872722,7.12727396665439,7.15067103377399,7.55269582020707,7.55568474345413,8.17953043612898,8.29928834904122
"Hook2",8.00933779301464,7.5201465201729,8.30984778314867,8.3180387841319,7.76781681152949,7.76960066901255,9.35567347738197,9.47895301256342,8.58441274321071,8.59222567546097,9.0321137000769,9.04002588842395,8.62674529691762,8.62003075913285
"Gm8798",6.84066785633991,6.84066785633991,7.17996235992212,7.1866758427823,7.18052034186694,7.18119352315115,7.83794793447689,7.70636383861032,7.2102719039123,7.21088909695605,7.55269582020707,7.55568474345413,8.0173147385878,8.03313929694163
"Sntb2",6.84066785633991,6.84066785633991,7.46689613262914,7.47113303841554,7.43723881840086,7.4384093041147,8.73592396014182,8.74386636116038,7.58584062041943,7.54766259615977,7.96694226413395,7.98245356025088,8.0173147385878,8.00375368472882
"Ctrb1",6.84066785633991,6.84066785633991,6.90611009055647,6.90620841410797,6.84066785633991,6.84066785633991,8.45243001368512,8.40061210224547,6.84066785633991,6.84066785633991,6.84066785633991,7.43399015062093,8.19196074271213,8.19336514637543
"Angptl6",6.84066785633991,6.84066785633991,7.57602615807535,7.60449358961555,7.32019348772519,7.33417978882564,9.10933273454076,9.11837595361341,7.63957485374149,7.67812218192825,8.19972973625121,8.20515315357765,8.21639254198078,8.20566221878707
"Adamts15",6.84066785633991,6.84066785633991,7.10210138578409,7.10249316962541,6.84066785633991,6.84066785633991,8.67100093386182,8.60996770639975,6.95783461020921,6.9580312274985,7.85043796718498,7.85459364610095,6.84066785633991,7.59289017986222
"Gm37474",6.84066785633991,6.84066785633991,7.01372280857419,7.0259331647319,7.19881236761375,7.42778581756668,8.80620979263281,8.68825058502409,6.93634287033059,6.93650345183761,7.30538439125866,7.47732067229981,8.67641152695377,8.71816097113001
"D630033O11Rik",6.84066785633991,6.84066785633991,7.173648116639,7.174146273694,6.84066785633991,6.84066785633991,8.30637798749093,8.3128350692906,7.19140037724543,7.18545046475229,8.19101774775356,8.17870731561594,6.84066785633991,6.84066785633991
"Hykk",8.825071765192,8.82979519110624,8.61459202198217,8.62076086352179,8.7096213401942,8.70492333078983,9.5198492933904,9.51986439221325,9.2966762942659,9.29221922674029,9.53594687212214,9.50246198891792,9.31977874557036,9.32201543965113
"Myo9a",6.84066785633991,6.84066785633991,7.4896602904616,7.49697795215315,7.4476466291825,7.48877598405073,8.28007852089206,8.28643719263128,7.54337568179843,7.56003533686786,7.91055717190896,7.90319067238546,8.00252482410564,8.00375368472882
"Csnk1g1",6.84066785633991,6.84066785633991,7.41851076919527,7.40471526150377,7.45786891123334,7.45907868137897,9.12279010674211,9.12514000324346,7.33547218974503,7.34973885380539,7.65488562321412,7.64217967596302,7.68388219725006,7.68479589848253
"Gclc",9.37128653551956,9.37203208862527,9.66438769809486,9.66421926524333,9.30281565937767,9.28308242198438,11.0887996747129,11.1143073492975,10.17052238549,10.1668127571425,10.0717538823581,10.0796819500556,10.168221897687,10.1735368770699
"Gsta1",6.84066785633991,6.84066785633991,7.14706928179252,7.11832807756404,6.84066785633991,6.84066785633991,7.89838405558982,8.06451271887919,7.524302597529,7.56309276103768,7.58845496892045,6.84066785633991,7.5920713365351,7.61698969307016
"Elp6",6.84066785633991,6.84066785633991,7.4960097933478,7.48095514768401,6.95418484694773,7.33417978882564,8.90482918186623,8.91329140168387,7.26173857989312,7.25703582510771,7.92211326637369,7.92653869305518,7.5920713365351,7.56791898389182
"Ulk4",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.46380168573416,8.47083006970226,6.97594798764138,6.97617495932738,7.68595949758717,7.67404290036206,6.84066785633991,6.84066785633991
"Xcr1",6.84066785633991,6.84066785633991,7.01372280857419,7.01398254724988,6.84066785633991,6.84066785633991,8.54046322991414,8.7256026560024,7.08434717076398,7.08475534144655,6.84066785633991,6.84066785633991,7.78495914398449,7.7859753026897
"Plekhg1",6.84066785633991,6.84066785633991,7.43626858501974,7.40471526150377,7.00116376535965,7.00148281953587,7.50552689198622,8.20318383889489,7.44152852662545,7.39209567759469,8.14634204850907,8.13309351164715,8.10166466307934,7.7859753026897
