Geneid,BC12_fliv_G_1.sort.bam,BC12_fliv_G_2.sort.bam,BC12_fliv_J_1.sort.bam,BC12_fliv_J_2.sort.bam,BC12_fliv_K_1.sort.bam,BC12_fliv_K_2.sort.bam,CTRL_fliv_B_1.sort.bam,CTRL_fliv_B_2.sort.bam,CTRL_fliv_D_1.sort.bam,CTRL_fliv_D_2.sort.bam,CTRL_fliv_E_1.sort.bam,CTRL_fliv_E_2.sort.bam,CTRL_fliv_F_1.sort.bam,CTRL_fliv_F_2.sort.bam
Spag9,87,87,955,941,297,297,121,110,858,861,117,117,271,270
Gm11518,0,0,20,9,10,1,3,2,23,18,6,18,1,1
B230206L02Rik,0,0,4,6,0,0,0,0,14,15,0,0,20,20
Tob1,0,0,1780,1761,269,263,61,61,1321,1321,35,36,116,114
Wfikkn2,0,0,8,7,0,0,0,0,0,0,0,0,0,0
Gm21885,0,0,3,3,0,0,0,0,8,10,0,0,0,0
Luc7l3,321,322,1084,1068,402,382,389,387,865,861,244,245,252,266
Ankrd40,43,44,821,814,369,370,72,73,500,498,168,168,79,78
Abcc3,0,0,1686,1669,263,265,0,0,2058,2049,173,173,126,126
Cacna1g,0,0,12,12,0,0,0,0,7,7,0,0,0,0
Spata20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epn3,0,0,7,9,0,0,0,0,2,2,0,0,0,0
Mycbpap,0,0,1,1,0,0,0,0,8,9,0,0,0,0
Rsad1,0,0,421,405,122,122,0,0,249,247,61,61,0,0
Acsf2,0,0,1604,1507,230,242,48,85,979,1005,186,186,177,204
Chad,0,0,30,21,16,16,0,0,17,17,0,0,0,0
Gm11540,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Lrrc59,175,172,470,489,136,143,80,80,220,227,86,85,8,16
Eme1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mrpl27,0,0,848,852,219,233,0,0,1157,1116,52,51,34,34
Xylt2,0,0,244,250,39,39,0,0,201,202,12,12,27,28
Gm11542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11541,0,0,0,0,21,17,52,52,0,0,108,97,11,11
Cdc34b,0,0,15,4,3,1,0,0,5,11,0,0,16,27
Gm11545,0,0,1,1,22,22,45,45,0,0,0,0,0,0
Tmem92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA623943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A430060F13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col1a1,139,139,391,379,244,197,36,13,219,205,183,169,411,369
Gm24877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sgca,0,0,71,75,0,0,0,0,0,0,0,0,13,13
Hils1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r9b,13,13,265,263,77,76,125,125,161,161,81,81,69,68
Samd14,0,0,45,34,15,14,0,0,18,18,0,0,0,0
Pdk2,130,112,1791,1819,354,352,43,44,1293,1318,255,248,99,97
Gm11513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itga3,29,29,171,173,47,47,0,0,122,121,116,117,78,78
Dlx3,0,0,0,0,0,0,49,49,0,0,0,0,0,0
Dlx4,0,0,10,8,0,0,0,0,5,5,0,0,0,0
Dlx4os,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tac4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kat7,0,0,235,234,70,57,44,28,70,72,0,0,27,27
Gm11520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11521,0,0,0,0,19,17,0,0,0,0,33,36,0,0
Fam117a,0,0,71,67,105,105,0,0,60,59,0,0,0,0
Gm29477,0,0,0,0,0,0,14,15,0,0,0,0,0,0
Slc35b1,0,0,674,678,202,216,138,130,503,479,52,47,93,88
Spop,48,47,811,805,177,165,186,185,535,536,130,130,124,124
Gm11522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nxph3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngfr,0,0,44,44,0,0,0,0,21,22,19,19,0,0
Gm11528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phb,336,282,1742,1660,481,494,96,97,2188,2145,163,211,19,12
Gm9796,0,0,7,7,0,0,0,0,0,0,0,0,0,0
Zfp652os,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp652,45,44,339,344,34,34,0,0,194,191,57,53,88,88
Polr2k-ps,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Phospho1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abi3,0,0,17,14,17,0,0,0,8,11,0,0,0,0
Gngt2,156,170,140,141,171,154,34,34,310,321,83,102,118,118
Gm11527,0,51,0,0,7,9,24,24,0,0,0,0,0,0
4833417C18Rik,0,0,0,0,0,0,0,0,2,2,0,0,0,0
B4galnt2,0,0,2,1,0,0,41,18,0,0,0,15,0,0
Gm11534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
