Geneid,BC12_fliv_G_1.sort.bam,BC12_fliv_G_2.sort.bam,BC12_fliv_J_1.sort.bam,BC12_fliv_J_2.sort.bam,BC12_fliv_K_1.sort.bam,BC12_fliv_K_2.sort.bam,CTRL_fliv_B_1.sort.bam,CTRL_fliv_B_2.sort.bam,CTRL_fliv_D_1.sort.bam,CTRL_fliv_D_2.sort.bam,CTRL_fliv_E_1.sort.bam,CTRL_fliv_E_2.sort.bam,CTRL_fliv_F_1.sort.bam,CTRL_fliv_F_2.sort.bam
4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19938,0,0,0,0,0,0,0,0,0,0,0,0,17,17
Gm10568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rp1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Gm6101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,0,0,92,94,70,70,39,39,71,73,79,79,19,19
Gm37587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7357,0,0,11,12,34,33,0,0,12,11,0,0,0,0
Gm22307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6085,0,0,47,38,31,24,37,23,63,37,0,16,0,0
Gm6119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6123,0,1,0,0,3,3,0,0,0,0,0,0,9,7
Mrpl15,147,147,947,943,290,290,82,82,946,954,119,113,91,88
Gm37144,84,0,44,52,47,41,67,62,20,26,119,115,44,36
Lypla1,325,322,3245,3230,1104,1087,465,464,3799,3800,379,380,324,318
Gm37988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcea1,8,42,286,316,146,191,9,64,498,464,70,68,40,73
Gm6104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37277,0,0,0,0,33,33,0,0,0,0,0,0,0,0
Rgs20,0,0,1,4,0,0,0,0,0,0,0,0,0,0
Gm17100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1h,218,215,1162,1160,1321,1316,139,139,2665,2642,234,220,142,151
Gm7182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oprk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm36965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37429,0,0,0,0,0,0,25,4,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,38,38,377,389,57,57,33,33,441,454,69,70,0,0
4732440D04Rik,0,0,44,44,0,0,0,0,13,13,0,0,0,0
Alkal1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19026,0,0,0,0,7,6,0,0,0,0,0,0,0,0
St18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm42492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37108,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gm37275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcmtd1,120,98,1438,1435,394,387,51,21,1204,1226,167,156,122,101
Gm26983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38372,0,0,10,10,0,0,0,0,0,0,15,15,0,0
Gm9826,2,0,10,15,0,0,0,1,3,0,0,0,1,0
Nras-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26901,0,0,3,3,20,20,42,0,0,0,13,13,17,23
Gm18984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm30414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps2-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sntg1,0,0,1,1,0,0,0,0,6,6,0,0,0,0
Gm38024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15452,1,1,9,11,0,0,0,0,10,4,0,0,0,0
Gm36964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37629,0,0,0,0,12,20,0,0,0,0,0,0,15,15
Gm38008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18299,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Gm7512,0,0,3,1,0,0,0,0,0,0,0,0,0,0
Gm24765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18300,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rrs1,0,0,245,238,99,99,0,0,203,206,67,68,72,72
Adhfe1,52,51,1201,1199,390,405,71,80,1509,1496,188,180,212,200
2610203C22Rik,0,0,1,0,0,0,0,0,14,12,0,0,0,0
Gm6161,0,0,5,5,0,0,0,0,0,0,0,0,1,1
Vxn,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mybl1,0,0,20,22,15,10,0,0,14,10,0,0,0,0
Vcpip1,0,0,425,411,172,166,0,1,498,488,51,51,68,68
1700034P13Rik,0,0,22,17,0,0,0,0,32,32,0,0,0,0
Sgk3,38,38,235,241,27,27,0,0,283,283,99,97,58,61
Gm6195,0,0,5,2,1,0,0,0,0,3,0,0,0,0
Gm22607,0,0,3,3,0,0,0,0,0,0,0,0,0,0
Mcmdc2,0,0,5,5,0,0,0,0,10,10,0,0,0,0
Snhg6,0,0,235,245,72,58,0,0,378,390,73,73,0,0
Snord87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcf24,0,0,28,28,0,0,0,0,22,22,0,0,0,0
E330040D14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r42,0,0,3,2,0,0,0,15,6,6,0,0,24,23
Gm15818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cops5,147,147,676,668,221,220,18,18,900,913,34,34,39,39
Cspp1,0,0,486,483,64,64,0,0,315,310,121,121,0,0
1700047N06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arfgef1,57,57,561,559,148,148,53,53,799,802,112,112,18,19
Gm26348,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Gm37569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cpa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28659,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gm22963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prex2,0,0,83,79,69,56,0,0,55,55,0,0,30,30
Gm24173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A830018L16Rik,0,0,0,0,0,0,63,63,0,0,0,0,0,0
Gm38178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7560,125,114,0,0,0,0,0,0,0,0,0,0,0,0
Gm22633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2383,0,0,1,2,0,0,0,0,5,1,0,0,0,0
Gm6216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulf1,61,61,66,63,0,0,0,0,11,11,0,0,9,9
Slco5a1,0,0,44,45,24,23,1,0,0,0,0,0,0,0
Gm37162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdm14,0,0,0,0,0,10,0,0,0,0,22,22,0,0
Ncoa2,0,0,388,386,0,0,121,120,272,269,28,28,51,52
Gm38376,0,0,5,5,0,0,0,0,0,0,0,0,0,0
Gm37409,0,0,3,3,0,0,0,0,0,0,0,0,0,0
Gm27881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38120,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Gm38380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7593,0,0,0,0,0,0,44,48,0,0,50,48,0,0
Tram1,121,119,2076,2075,474,478,173,174,1840,1828,206,207,80,80
Lactb2,0,38,3155,3055,1160,1145,95,96,3269,3245,425,421,249,244
Gm38319,0,0,6,6,33,32,0,0,0,0,0,0,0,0
Xkr9,0,0,194,194,74,72,92,92,216,215,74,73,17,17
Gm26273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5523,0,0,0,2,0,0,0,1,1,1,0,1,0,0
Gm36947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eya1,0,0,6,6,0,0,0,0,0,0,0,0,0,0
Gm22616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9947,0,0,4,4,22,22,0,0,1,1,0,0,0,0
Msc,0,0,14,14,0,0,45,45,20,20,0,0,0,0
Gm37412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smt3h2-ps4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl5-ps1,0,0,0,1,0,0,0,0,0,4,0,0,14,20
Trpa1,0,0,0,0,0,0,0,0,0,0,21,0,0,0
Gm26345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10566,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Kcnb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37138,0,0,30,29,23,23,0,0,18,18,0,0,0,0
Gm25227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terf1,1,0,139,153,45,44,0,0,147,151,37,36,84,96
Gm37509,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Sbspon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930444P10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl7,811,878,5450,5520,2593,2590,763,757,7187,7130,685,647,963,1016
Rdh10,24,24,399,402,134,132,58,58,464,465,53,53,0,0
Gm38249,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Gm28095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stau2,0,0,95,95,0,0,14,13,56,56,23,22,0,0
Gm7568,0,0,0,0,0,0,56,56,0,0,0,0,0,0
Ube2w,0,0,274,279,144,145,33,35,232,232,43,43,66,66
Gm38342,0,0,0,0,0,0,0,0,6,6,0,0,0,0
Eloc,133,134,821,817,267,275,51,50,1160,1166,155,152,46,45
D030040B21Rik,0,0,0,0,0,0,29,29,0,0,0,0,0,0
Gm7654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem70,51,51,634,628,249,248,100,101,748,742,49,50,48,49
Ly96,0,0,40,40,14,14,0,0,57,58,0,0,0,0
Gm29649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5828,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gm28376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4921511E07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jph1,0,0,142,141,19,18,0,0,16,21,0,0,0,0
Gm28783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gdap1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbm6-ps1,0,0,10,17,22,12,0,0,2,3,0,0,0,0
Gm6075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pi15,0,0,11,11,0,0,0,0,0,0,0,0,0,0
Gm28154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crispld1,0,0,0,3,0,0,0,0,0,0,30,30,0,0
Gm28153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm45784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crisp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15825,78,103,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38382,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pkhd1,0,0,54,48,0,0,46,46,94,87,14,19,12,28
Gm37315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930486I03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15795,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm24162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28653,0,0,4,5,0,0,0,0,0,0,0,0,0,0
Mir206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il17a,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il17f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mcm3,184,183,68,65,34,34,0,0,53,52,0,0,17,17
Gm20587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28065,0,0,0,0,0,0,0,0,0,0,15,13,0,0
Gm24723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6720483E21Rik,0,0,1,1,0,0,0,0,1,1,0,0,0,0
Paqr8,0,0,9,9,0,0,0,0,9,9,0,0,0,0
Gm24171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efhc1,0,0,9,8,0,0,0,0,4,4,0,0,0,0
Tram2,0,0,181,169,12,12,69,69,90,88,65,64,29,44
Gm28287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2693,0,0,0,0,9,9,0,0,4,4,0,0,0,0
Tmem14a,0,0,103,94,27,27,0,0,105,96,0,0,0,0
Gm38224,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Gsta3,861,837,13322,13281,3628,3600,629,625,13432,13385,1187,1174,689,687
Gm28836,0,44,25,22,0,0,0,0,16,18,21,24,0,0
Gm7094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4956,0,0,15,16,0,0,44,20,28,27,0,0,14,16
Gm21909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcnq5,87,87,12,12,0,0,0,0,1,1,0,0,0,14
Gm36949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7658,19,0,63,66,21,43,0,1,82,127,9,9,17,0
Gm38243,0,0,0,0,0,0,0,0,0,0,25,0,0,0
Gm5696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rims1,0,0,0,0,0,0,0,0,0,0,0,0,36,35
Gm26866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r14bl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6420,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Mir30a,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27028,0,0,4,1,0,0,0,0,2,2,0,0,0,0
Mir30c-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29107,0,0,3,3,0,0,0,0,3,3,0,0,0,0
Gm20954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogfrl1,0,0,351,352,148,140,103,96,317,337,141,155,131,118
Gm7784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3gat2,0,0,15,20,0,0,0,0,9,9,0,0,0,0
Smap1,0,0,36,36,0,0,0,0,7,8,0,0,0,0
Sdhaf4,42,41,247,244,106,88,0,0,248,262,25,25,0,0
Gm26524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam135a,141,140,572,558,108,107,21,21,434,434,163,162,79,79
Gm37580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col9a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col19a1,0,0,0,0,0,0,0,0,0,0,14,10,21,21
Gm26418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tubb4b-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28439,1374,1493,201,216,653,1522,1102,1243,229,207,1138,1107,1564,1624
Gm10222,287,315,42,34,169,118,160,160,38,23,264,228,302,251
Gm28438,604,527,105,110,234,208,497,494,133,123,375,278,463,408
Gm28437,8041,4250,751,692,3061,4959,6393,6873,1012,957,4368,2701,10143,4814
Gm10925,5480,5213,1058,974,3690,3406,4853,5147,1173,1080,4300,4335,5319,5335
Gm28661,11855,3924,2639,899,8819,3015,9991,3411,3057,960,10077,3578,13504,4764
Gm29216,3465,3853,557,568,10444,2334,2876,2653,674,645,2536,2606,2612,2804
Lmbrd1,64,64,762,757,231,236,0,0,1020,987,280,295,156,141
Gm28594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adgrb3,45,45,0,0,18,18,0,0,0,0,0,0,0,0
Gm15702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm20172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37880,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8030445P17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38198,0,0,0,0,0,0,0,0,0,0,0,0,18,18
Gm37077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm36952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900022M07Rik,0,0,0,0,10,9,50,50,0,0,0,0,0,0
2900002M20Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-R5s209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5524,16,0,166,162,58,57,0,0,232,234,28,42,0,0
Gm18776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19028,0,0,0,0,0,0,0,0,0,0,0,12,12,12
Gm38089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7846,0,0,6,4,0,0,0,0,15,16,0,0,1,3
Gm597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5697,0,0,3,2,0,0,0,0,3,9,0,0,0,0
Gm6462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5525,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AC125120.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6473,0,0,4,4,0,5,0,25,0,15,10,10,17,0
Gm2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phf3,0,0,494,504,0,0,0,0,524,527,65,65,81,81
Gm37522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37906,0,0,3,3,0,0,0,0,2,2,28,46,0,0
Ptp4a1,0,0,1103,1099,436,478,77,63,1086,1045,149,146,146,133
Gm5698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4931428L18Rik,0,0,11,8,0,0,0,0,9,9,0,0,0,0
Gm28644,0,0,4,4,0,0,0,0,2,0,0,0,0,0
Gm27362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
