"Geneid","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Smap1",20.0226091527148,-5.22551472450151e-07,0.00144269504693105,0.00128942605439542,0.0439545943498333
"Ankrd39",24.810427555108,-1.47210863217956e-06,0.0014426953522338,0.000125834897785203,0.0101291037856338
"Chst10",14.3424218136806,8.61592661472318e-07,0.00144269515053009,0.00111840349288341,0.040738442123753
"Col3a1",463.109364540027,1.23893295381509,0.538444665167566,0.000650695093940443,0.0288613041594757
"Cdk15",13.3458513896733,6.7394033405836e-07,0.00144269511117199,0.00134258823302125,0.0446794805494415
"Ino80d",128.876843497052,-1.52316162531992,0.795475662160527,0.000956707399023402,0.0365780337572024
"Rufy4",40.5469654161551,3.99999741819116,0.963069364469036,2.40663079273899e-06,0.000647439469555071
"Pnkd",205.388829404573,0.950966108554221,0.436794187919518,0.000855305637323049,0.0341055565398425
"Gm38374",15.9829265911272,1.09238314354393e-06,0.00144269520094959,0.0011913542484552,0.0422958208760316
"Hdlbp",759.12246587549,-0.708641332969376,0.205403972260343,1.99914062805041e-05,0.00301987831343144
"Cdh20",25.4187638217584,7.94820754867631,2.26709195453614,3.41688310558407e-05,0.00446163855007113
"Tnfrsf11a",15.2463533133146,4.95658264952243,1.725661663878,0.000223426562940782,0.0142844667294256
"Celrr",20.0656780228516,8.82073102001962e-07,0.00144269515004563,0.00164106860498448,0.0497747737511827
"Rpl31-ps9",13.8741497377943,4.61630333350337,1.8004670516834,0.000410479788829902,0.0210822419543038
"Nucks1",197.126854873556,0.674526943329478,0.277252680853395,0.000444328362645486,0.0223732399073257
"Mfsd4a",11.2349710088489,-9.57687405624325e-07,0.00144269517260049,0.000305671844922334,0.0174724201904891
"Mgat4e",16.1688084312317,6.70502127563678e-07,0.00144269511102236,0.000767468884632376,0.0322211459793342
"Phlda3",18.7125716942275,4.03515826209498,1.34532527654273,0.000138016908755772,0.0105799230353678
"Platr22",21.0254850451286,4.27310453856153,1.48353736415055,0.000181907786809028,0.0124054205904062
"Fam129a",23.1604129741719,2.39437188389249,0.80073691371554,0.000110615233197789,0.00941635090116868
"2810414N06Rik",33.4378181058016,3.13021437949241,1.01152032243709,9.28996284127564e-05,0.00862287635291416
"BC034090",14.5967027545467,-9.01651485812816e-07,0.0014426951571208,0.00117566072365185,0.0420483216243425
"Fam163a",27.9344804071409,8.15583124627255,1.76531401409416,2.44696405403353e-07,0.000124448994464303
"Ankrd45",36.8483367718225,12.3093634276763,3.61404696757805,1.39312572603412e-08,1.1925156214852e-05
"Dnm3",14.8135528295055,3.47855025073115,1.43903953013953,0.000548529710343718,0.0255339751570272
"Fmo3",315.992128216356,-2.21604353736911,0.445451812301813,2.36880304650747e-08,1.6749305789298e-05
"Gm36945",19.9758248873548,3.18826671448216,1.726685726342,0.00111543898948108,0.0407267392178303
"Nuf2",7.89497442741186,1.42937231651035e-06,0.00144269529599621,0.00111287973489067,0.0407267392178303
"Ddr2",65.1586219245126,2.66071246152195,0.93199371110822,0.000155858182027105,0.0114597657675253
"Alyref2",17.9946858843515,-1.70248464314479e-06,0.00144269538958174,0.000763394187015898,0.032137643807489
"Pea15a",113.523148307234,1.32826376125714,0.676189034167151,0.0012332434790126,0.0430880170626444
"Slamf9",11.4595238664192,3.94821268485906,1.34105001636636,0.00017873600348068,0.0123496158817503
"Ifi211",20.6563018959927,3.96875117465423,1.27754216297299,9.94200471464917e-05,0.00890618654902991
"Gm37033",36.4862581197875,2.34516555958884,1.08062120168238,0.000752070005005145,0.0317476565400528
"C130074G19Rik",390.55271585127,-0.899168845283298,0.29459682583958,6.99166665262466e-05,0.00690561537074621
"Frmd4a",57.2768742592042,-1.54217548730989e-06,0.00144269529041446,0.00127599943367574,0.0437686288551214
"Ccdc3",29.1685755199903,5.13195778646525,0.969592915303162,2.02619753209403e-08,1.63649647946139e-05
"Gm37975",14.1220824647607,6.56098286676276e-07,0.00144269510738663,0.00124023931637861,0.0432344058524017
"Mastl",11.6890994532523,4.02310711363607,1.3529302772291,0.000164613432143297,0.0117970407556462
"Nsmf",431.597177791277,-0.765844435205069,0.435626425760255,0.00136624259265744,0.0449335249919027
"Fcnaos",15.2365099275986,-1.60632154441455e-06,0.00144269540223126,0.000129330640942538,0.0102191103366289
"Brd3",130.504709895613,-5.01100934776491e-06,0.00144269708049802,0.00133840352977756,0.0446366268112829
"Rxra",683.924820684828,-0.418248344978584,0.185430294483439,0.000603079481478,0.0271703176918509
"Zer1",77.3416036576655,-1.61069610908929e-06,0.00144269442263939,0.000592230015123677,0.026997278322561
"Tbc1d13",139.29557043472,-2.79568356061419e-06,0.00144269562652084,0.00119994836553046,0.0425029986576856
"Gm13611",17.8517001436237,5.0319391650532,1.07427628059756,1.55839031024026e-07,8.57559925006498e-05
"Garnl3",13.9013528104162,3.87841773018268,1.47555981812963,0.000373007009940381,0.019615331089288
"Neb",56.2518112106652,-2.94621311241678,1.08388534961796,0.000168676614633628,0.0119218774232796
"Gm13623",25.037967258048,7.44947347963107e-07,0.00144269513029588,0.000146966459826618,0.0109925204514977
"Gm13657",25.708300451513,4.0323862257261,1.38799169972472,0.000162431955668967,0.0117970407556462
"Gm13680",12.3521744048617,2.700926155637,1.49673111654876,0.00117886840150051,0.0420483216243425
"Selenoh",37.3176647668067,1.77767588852798,0.946118811070577,0.00151852640393776,0.0480440550962484
"1110051M20Rik",38.127888165201,2.14792702188246,1.18263039576415,0.00156422373627702,0.0486900188455682
"Arhgap1",45.5473722623568,-2.19286272857137,0.741869608813288,0.000100625444962613,0.00896206275135228
"Gm13889",19.554652824688,-3.69660517629435e-06,0.00144269650469472,0.00019216404986005,0.0128175916893665
"Prrg4",11.4827521644842,-1.33161292756295e-06,0.00144269528239939,0.000834653429386914,0.0339324167660782
"Wt1",25.9584436561922,4.72468015733362,1.45935184538843,6.49683931238049e-05,0.00650021429384147
"Arhgap11a",33.5438172207233,2.14181063043255,1.018008008203,0.000928182545502433,0.0356644305763129
"Meis2",49.8478832398762,1.94939533096414,0.99857265559083,0.00126113977800623,0.043641609286083
"Gm14016",18.3699489910377,8.97847044910725e-07,0.0014426951546023,0.00157375300859085,0.0487795941131532
"Gm14000",16.7962461701238,8.03488209935555e-07,0.00144269514144646,0.000503342549395982,0.0242359437534165
"Frmd5",11.1895271263991,7.70404168350172e-07,0.00144269513203583,0.00085694011458191,0.0341055565398425
"Zfp661",32.5489210738716,-1.96612810765561e-06,0.00144269550832005,0.000310069169134429,0.0175062119870384
"Polr1b",108.262238445617,-0.793291946089606,0.18128021042573,5.04446239300492e-07,0.000222071647289771
"Ebf4",18.5174565140046,3.62434441292322,1.38517610138954,0.000362765941866831,0.0194756015062165
"Syndig1",21.1975832518765,7.01439735686956e-07,0.0014426951191304,0.000311197715842896,0.0175062119870384
"Zfp937",18.4570720925331,2.745281547752,1.47322628916032,0.0013905079243074,0.0454882082754317
"4921509C19Rik",18.8838707577495,6.41701636437322,2.12874179922199,2.62767484730003e-05,0.00374881611548137
"Fkbp1a",196.368855533144,0.949175314556189,0.272890524335859,1.9356887462012e-05,0.00296992820015405
"Cox4i2",10.5457642303225,9.05684130401698e-07,0.00144269516025466,0.00126515638992701,0.043641609286083
"Cnbd2",15.8305064144389,2.42056967164911,0.90237021681192,0.000264328941105351,0.0158488845264658
"Soga1",31.3809110926889,4.59232279468673,1.32528487182527,3.08133570940881e-05,0.00429728029636628
"Mybl2",41.9464411049144,3.79975996645053,1.54038613315351,0.000430516785743101,0.0218204034037161
"Zswim1",22.1422668649304,-1.62730526056026e-06,0.00144269539665531,0.000208496356928608,0.0134979490233445
"Cd40",18.9061936361261,3.35578800253383,1.43957690486462,0.000671215715669816,0.0291326528085649
"Atp9a",218.092882763914,1.29933680958961,0.336627294397047,4.53700704350381e-06,0.00101313339893198
"1700017J07Rik",12.5284677617843,1.04638992234633e-06,0.00144269519823192,0.000853837216637444,0.0341055565398425
"Pkia",21.3620047429306,-2.40268990834291e-06,0.00144269571295385,0.000274905428392832,0.0163542194620724
"Fxr1",179.652420708104,0.589448340431151,0.234775653299146,0.000370004479766241,0.019615331089288
"Cog6",81.4503348190208,-3.54005543696581e-06,0.00144269632876894,0.000191616726739428,0.0128175916893665
"Gm37776",18.6267176842406,-7.58919656524204e-07,0.0014426951323932,0.000616590979042214,0.0276175401310536
"Gask1b",19.1327949072324,-6.23080992376326e-07,0.00144269510105569,0.000838388067164151,0.0339944298391191
"Kirrel",16.6716993540697,-1.75173895206906e-06,0.00144269551263473,0.000125322772559323,0.0101291037856338
"Pbxip1",228.53084103735,1.8104526020226,0.484355356544152,7.70969760040007e-06,0.0015229618029098
"Chtop",242.462822545813,0.777458536510538,0.273112032580203,0.000156126254229048,0.0114597657675253
"6330562C20Rik",12.8306580864971,-2.35463651404878e-06,0.00144269579685653,3.57670935755721e-05,0.00455573713848374
"Hormad1",12.9520221506244,6.52653845062089e-07,0.00144269510615728,0.00147250998320444,0.0474526918773463
"Aph1a",35.0651294534649,2.44019374909561,1.00899697352526,0.000543356708219127,0.0253698186673949
"Ankrd35",36.7934847287698,-8.58365391746935e-07,0.00144269516204542,1.71423037348555e-05,0.00276924117652826
"Gm43465",13.2640520228087,10.4175979403768,3.63408448272841,9.30822134614891e-06,0.00181545663925902
"Gm43652",17.1072708353507,7.16545809689546,2.12598742434403,6.02440333917518e-05,0.00618826711000075
"Gm9397",13.2125589734363,6.66494003536388e-07,0.00144269510928332,0.00130715484474068,0.0442853053479179
"Npnt",11.9386631446591,4.83072298272905,1.96640044146855,0.000651851885221803,0.0288613041594757
"Pdha2",19.0986661463343,7.13792494927298e-07,0.00144269512166002,0.000371522156440518,0.019615331089288
"A530083M17Rik",14.3986096880188,10.419867567985,3.76809508759,2.46073835812242e-05,0.00357689213414624
"Esrp1",18.6940432466332,5.94410528700421,1.83961846863758,8.76934355237488e-05,0.00828945064141057
"Gm12388",22.7587554066361,-7.00289543077862e-07,0.00144269512019605,0.000634040586752511,0.0283168039440078
